Function,Mean,Std,Best,Median,Worst,MaxFEs,PopSize,Runs,Dim
F1,302.694984500741,4.01189736010683,300.124611270423,301.752712241651,322.20396706665,100000,50,30,10
F2,406.226447398626,2.28309954119761,404.044009047542,404.711711269761,409.351231549081,100000,50,30,10
F3,600.000023827313,1.53785607028969e-05,600.000007064612,600.000019226281,600.000071458821,100000,50,30,10
F4,831.763800677965,4.69188534164769,820.239862890175,832.76159699802,840.6082636524,100000,50,30,10
F5,900,0,900,900,900,100000,50,30,10
F6,3125.35183506999,1643.3244713418,2045.04517991019,2606.06978154089,10763.4197594794,100000,50,30,10
F7,2029.40825791542,3.95755150714719,2022.63652699604,2028.99987076462,2038.25062378057,100000,50,30,10
F8,2227.61588773898,1.67950488044779,2222.41329838754,2227.91362080716,2230.70331582171,100000,50,30,10
F9,2529.28438270849,0,2529.28438270849,2529.28438270849,2529.28438270849,100000,50,30,10
F10,2537.85250073594,137.694750533235,2500.26764430532,2500.37007144298,3236.21900764391,100000,50,30,10
F11,2640,122.051430651753,2600,2600,3000.00000000007,100000,50,30,10
F12,2860.67456226786,1.06785957774707,2858.61888049051,2861.40488075875,2862.802071609,100000,50,30,10
