Function,Mean,Std,Best,Median,Worst,MaxFEs,PopSize,Runs,Dim
F1,4421.94908597221,7948.38715336396,300,1082.90451178438,40265.9485131154,100000,50,30,10
F2,414.794969732815,20.8630546229868,400.000000198102,408.916101927781,488.688858101755,100000,50,30,10
F3,609.627106865552,9.12601078659587,600.161003820393,607.236229611057,640.420861968955,100000,50,30,10
F4,845.322234864664,19.4169778631828,816.914288857129,839.836575470644,880.888734028621,100000,50,30,10
F5,1156.0989022639,306.707109536349,900,1051.08134630102,2051.05673855635,100000,50,30,10
F6,4599.95564867356,2509.3585458982,1851.37850148816,4515.07262784331,8197.94620474597,100000,50,30,10
F7,2046.92420963725,41.9721572006574,2021.08209704636,2032.90492154881,2234.68185704293,100000,50,30,10
F8,2230.474690472,10.0285771611092,2220.8196264834,2226.7546680943,2255.05206154796,100000,50,30,10
F9,2531.34333083599,5.06287007786424,2529.28438270849,2529.28438270849,2549.36503481877,100000,50,30,10
F10,2560.50455125951,65.7642086626806,2500.44743008983,2501.10489951746,2679.08363681575,100000,50,30,10
F11,2814.89981335713,225.840908419911,2600,2750.47753488487,3268.09635820773,100000,50,30,10
F12,2865.45584511603,2.67012065135968,2858.61835655687,2864.8392105725,2874.33499988018,100000,50,30,10
