Function,Mean,Std,Best,Median,Worst,MaxFEs,PopSize,Runs,Dim,K
F1,300,1.96628256898864e-13,300,300,300.000000000001,100000,50,30,20,5
F2,430.287077588092,23.1348331079918,400.000000549208,444.895469317451,449.084478979482,100000,50,30,20,5
F3,622.364881880576,13.110312865244,605.827844383035,621.076736640315,679.818316102838,100000,50,30,20,5
F4,868.091986532535,39.6459687062277,831.83866463789,858.702455745084,988.841484467469,100000,50,30,20,5
F5,1862.82918161247,721.297443992053,919.946573059156,1617.73624152628,3563.0605242475,100000,50,30,20,5
F6,4035.30855125827,4798.20214491104,1890.10927748783,2217.56783076864,21605.8260208245,100000,50,30,20,5
F7,2154.07924514116,90.0081085794807,2053.29469004803,2134.91794800644,2418.70063128395,100000,50,30,20,5
F8,2249.4379655167,44.3082755800165,2222.23367519183,2229.81738020241,2383.74426857363,100000,50,30,20,5
F9,2480.78127167775,1.26666694661971e-12,2480.78127167775,2480.78127167775,2480.78127167775,100000,50,30,20,5
F10,4869.96410575284,1505.23884859514,2500.77275980456,4917.89365524761,7677.7917118986,100000,50,30,20,5
F11,2933.56833131204,109.7509188222,2600,2900,3360.45747560352,100000,50,30,20,5
F12,2977.98828421952,33.1121493848452,2944.88115271471,2968.29972376668,3081.1110929216,100000,50,30,20,5
