Dim,Algorithm,K,Function,Mean,Std,Best,Median,Worst,Rank
20,MJAYA,1,1,17345.0046986516,19750.3960156722,300.000000000111,9910.52049129355,71948.9694991599,6
20,MJAYA,1,2,447.768042531735,30.4617587664716,400.104245438766,449.084478979481,561.385615702868,9
20,MJAYA,1,3,610.345039197768,12.3193884694886,600.085797877728,605.481023563928,658.960158895755,3
20,MJAYA,1,4,927.089302333421,48.3496885209948,843.778132975019,940.270670001755,1012.52697427046,7
20,MJAYA,1,5,3003.29433982386,1497.2464467639,901.996352575196,2636.53504467511,5725.99573621206,6
20,MJAYA,1,6,1757067.07478694,7834546.01541298,2084.60901855594,20577.3801928528,43118625.3424248,6
20,MJAYA,1,7,2105.17132494891,53.3307432587623,2024.57572666162,2097.54775842387,2253.96605628977,2
20,MJAYA,1,8,2242.76254029732,34.5890447681992,2221.49657932513,2231.25303545601,2367.80275174222,2
20,MJAYA,1,9,2482.28813291694,5.61703645543337,2480.78127167775,2480.8036833015,2510.38501329268,6
20,MJAYA,1,10,3889.51773053488,1055.56812253042,2500.70672684453,4286.03437910371,5664.23925571905,1
20,MJAYA,1,11,3085.713703175,432.958414190474,2600,2900,4672.35390566607,9
20,MJAYA,1,12,2962.85146836709,24.4308607488475,2939.29795781754,2955.34834720303,3025.35883350574,4
20,MJAYA,2,1,27862.4769512186,25086.2115807616,300,20666.6019285821,86463.5697164637,8
20,MJAYA,2,2,445.535206244193,32.1762378521442,400.135340086566,449.084478979481,592.577718008214,8
20,MJAYA,2,3,620.097597664931,16.6371028826151,602.134545019751,615.897457848745,668.032493684128,7
20,MJAYA,2,4,931.403779967814,57.4726913739012,846.762984911765,922.123093658217,1032.45007484075,8
20,MJAYA,2,5,3581.8410737815,1985.53752441889,969.04382706485,3196.80583130759,9586.74203479964,7
20,MJAYA,2,6,4122463.58159592,10075686.6523618,2016.9854285575,20582.2136801437,29347261.2474524,9
20,MJAYA,2,7,2129.1687565799,70.1756470605054,2033.33326453772,2110.53199842959,2274.97645250146,6
20,MJAYA,2,8,2272.65436007481,51.1627391462784,2221.46427960854,2255.83690262976,2375.9857654075,7
20,MJAYA,2,9,2484.53610732915,10.0131919684945,2480.78127167775,2480.78255085916,2516.84438741153,7
20,MJAYA,2,10,4098.98499601012,1246.33225693751,2500.76852753888,4447.3402271114,6389.68565586363,4
20,MJAYA,2,11,3118.20222541172,411.484362504879,2900,2900,4659.15711367385,10
20,MJAYA,2,12,2962.23563549862,15.5150625708514,2941.92409668292,2956.70054539624,2996.70314120847,3
20,MJAYA,3,1,26334.1751247166,27420.3803198728,300,16262.7309973782,103858.742012783,7
20,MJAYA,3,2,450.110547084295,31.9979919851549,400.392175876162,449.084478979481,537.629173697635,10
20,MJAYA,3,3,619.600203291007,11.2774247841364,604.443429702915,617.701902757739,656.311660575262,6
20,MJAYA,3,4,931.421035065075,58.0533178485343,843.778117816123,941.93720327572,1038.54480578693,9
20,MJAYA,3,5,4074.34565141916,2232.77659398182,934.698661954838,3599.95439420629,8880.16310165047,9
20,MJAYA,3,6,4060988.64324018,11881325.6102934,2045.89176477353,17215.758149774,43118748.8811349,8
20,MJAYA,3,7,2177.45321207384,87.6977491272318,2048.95630403326,2154.65685582861,2388.17344720216,9
20,MJAYA,3,8,2291.55644663969,66.6783765755579,2221.93451154858,2262.52233826333,2466.13152245191,8
20,MJAYA,3,9,2485.9209850736,11.7799602700622,2480.78127167775,2480.80364353829,2526.84234789944,9
20,MJAYA,3,10,4915.44346260841,1375.1606000753,2500.73692503912,4701.23406882962,7383.48768117743,9
20,MJAYA,3,11,3048.3549471273,311.33062046079,2600,2900,4372.19764179617,7
20,MJAYA,3,12,2970.66433018068,24.5994160341877,2942.29858520302,2966.01460779293,3054.17173903051,7
20,MJAYA,4,1,28192.2239003184,25692.4175866741,300,25795.4971277238,106025.383068758,9
20,MJAYA,4,2,434.531918457402,30.4690003883916,400.025265265133,438.57973851864,512.944559342453,4
20,MJAYA,4,3,629.426761378204,18.1672740417349,605.799277092456,623.695104541521,664.938158005597,9
20,MJAYA,4,4,935.461291069319,64.7821512927662,828.85378746661,966.039744809984,1015.98155371782,10
20,MJAYA,4,5,4539.95618906914,1991.66316988576,1657.9632977705,4033.64724750336,10741.3350568761,10
20,MJAYA,4,6,4778366.81990765,10713347.5375451,1950.83167895348,12775.3689674884,29347130.4320797,10
20,MJAYA,4,7,2166.81673577849,100.819017815543,2043.60442014237,2124.23294876755,2397.52286132548,8
20,MJAYA,4,8,2303.47260883684,83.9819156253722,2224.84598961263,2255.96051470165,2485.95052403167,9
20,MJAYA,4,9,2485.22942088247,8.70376654529215,2480.78127167775,2480.91246351326,2513.7775271259,8
20,MJAYA,4,10,4435.23603945813,1763.35816001968,2500.4660898547,4401.31477245542,7567.52593318327,6
20,MJAYA,4,11,3062.70409433253,394.494941990607,2600,2900,4747.32722753563,8
20,MJAYA,4,12,2975.38111250884,25.3931589710937,2941.60414745956,2974.77972865967,3052.78502318012,8
20,MJAYA,5,1,37296.7929821358,33417.0537515259,300,39510.3799223147,111711.79144171,10
20,MJAYA,5,2,442.812208537146,18.7483774752712,400.552709863369,449.084478979482,472.422424498151,6
20,MJAYA,5,3,630.501454272341,12.1417335593079,608.040689234302,629.258343034119,651.941974207027,10
20,MJAYA,5,4,926.671557011064,69.2856920217453,842.783118182706,892.064191377866,1074.24755741356,6
20,MJAYA,5,5,3805.3551963123,2657.34151804212,1091.00830585339,3065.76713153683,12368.3630353995,8
20,MJAYA,5,6,2472956.36210161,9202656.74083482,2118.02174454788,9804.63426265959,43118735.3282282,7
20,MJAYA,5,7,2201.37370353064,94.6386893224573,2051.90846322176,2175.92624272777,2407.56152977281,10
20,MJAYA,5,8,2316.64716431926,73.4129423171079,2223.45719256407,2326.64872500896,2471.4559391068,10
20,MJAYA,5,9,2491.08504757389,25.4460547268156,2480.78127167775,2480.849536181,2577.51057326719,10
20,MJAYA,5,10,5004.65955144009,1486.96622553131,2501.22855472879,4951.70186893722,8002.92744987639,10
20,MJAYA,5,11,2979.86962759915,201.984297069798,2600,2900,3565.91490673178,6
20,MJAYA,5,12,2997.50102676407,36.4030229449871,2947.76932672338,2991.81887088201,3132.7457662471,10
20,BMJAYA,1,1,300.000000000329,5.07226443100499e-10,300.000000000005,300.000000000145,300.000000002053,5
20,BMJAYA,1,2,443.754282955245,14.4545927356956,400.001449384719,449.084478979481,449.084478979481,7
20,BMJAYA,1,3,602.322117717176,5.15816858713651,600.002153874777,600.270504174892,624.198127159997,1
20,BMJAYA,1,4,859.37757482322,42.2028170534603,815.919334837855,844.773086971574,957.986960546214,3
20,BMJAYA,1,5,1067.63263208741,268.455093702696,900.089528250417,963.782742164984,1917.26766056079,1
20,BMJAYA,1,6,5332.49472542071,4594.23862875981,1888.94432530782,3477.7304812376,22332.8956789846,5
20,BMJAYA,1,7,2089.94878680878,53.9824774881367,2025.46122092339,2078.0115205935,2247.87066689198,1
20,BMJAYA,1,8,2234.95028893362,23.4081831372969,2221.39680732163,2224.85882303492,2342.12101982916,1
20,BMJAYA,1,9,2480.78127167775,2.67036839211279e-13,2480.78127167775,2480.78127167775,2480.78127167775,1.5
20,BMJAYA,1,10,4066.52582589381,1094.24310150214,2500.64233448529,4262.4007809994,5934.7401206802,3
20,BMJAYA,1,11,2910,71.1966678801896,2600,2900,3000.0000000001,2
20,BMJAYA,1,12,2950.77171147042,11.6428651815526,2935.69640807426,2947.01359915278,2981.7639330224,1
