Function,Algorithm,Mean,Std,Best,Median,Worst,TotalTimeSec,AvgTimePerRunSec,Rank
F1,PSO,7.451E+10,1.809E+10,4.156E+10,7.346E+10,1.131E+11,95.9273773,3.19757924333333,3
F1,GWO,1.923E+10,2.227E+09,1.562E+10,1.885E+10,2.582E+10,106.4654023,3.54884674333333,2
F1,WSO,2.479E+11,3.072E+10,1.632E+11,2.496E+11,2.974E+11,117.0879779,3.90293259666667,4
F1,SBOA,3.300E+03,3.724E+03,1.123E+02,1.927E+03,1.414E+04,158.8159006,5.29386335333333,1
F3,PSO,2.126E+05,7.389E+04,8.573E+04,2.050E+05,3.629E+05,84.7615931,2.82538643666667,3
F3,GWO,1.647E+05,1.428E+04,1.292E+05,1.637E+05,1.946E+05,106.7795454,3.55931818,2
F3,WSO,4.959E+05,5.497E+04,3.520E+05,4.929E+05,5.779E+05,115.491594,3.8497198,4
F3,SBOA,3.761E+04,1.345E+04,1.813E+04,3.645E+04,6.704E+04,161.250831,5.3750277,1
F4,PSO,1.362E+04,6.425E+03,3.912E+03,1.321E+04,3.247E+04,87.647679,2.9215893,3
F4,GWO,2.122E+03,2.593E+02,1.692E+03,2.093E+03,2.986E+03,106.6772749,3.55590916333333,2
F4,WSO,9.255E+04,1.483E+04,6.514E+04,9.014E+04,1.233E+05,116.527806,3.8842602,4
F4,SBOA,5.222E+02,3.480E+01,4.968E+02,5.026E+02,5.918E+02,156.748391,5.22494636666667,1
F5,PSO,9.648E+02,6.437E+01,8.353E+02,9.691E+02,1.076E+03,115.8349644,3.86116548,3
F5,GWO,9.610E+02,1.717E+01,9.234E+02,9.609E+02,9.919E+02,136.549005,4.5516335,2
F5,WSO,1.692E+03,6.991E+01,1.486E+03,1.707E+03,1.804E+03,150.8998949,5.02999649666667,4
F5,SBOA,5.922E+02,2.228E+01,5.557E+02,5.915E+02,6.572E+02,189.139029,6.3046343,1
F6,PSO,6.549E+02,1.234E+01,6.304E+02,6.540E+02,6.760E+02,203.667485,6.78891616666667,3
F6,GWO,6.487E+02,2.059E+00,6.443E+02,6.491E+02,6.518E+02,229.9178325,7.66392775,2
F6,WSO,7.506E+02,6.218E+00,7.405E+02,7.509E+02,7.632E+02,234.1818848,7.80606282666667,4
F6,SBOA,6.003E+02,1.454E-01,6.001E+02,6.003E+02,6.006E+02,283.0276981,9.43425660333333,1
F7,PSO,1.969E+03,3.644E+02,1.343E+03,1.983E+03,2.737E+03,123.2658895,4.10886298333333,3
F7,GWO,1.343E+03,3.322E+01,1.272E+03,1.343E+03,1.410E+03,151.0289013,5.03429671,2
F7,WSO,5.971E+03,3.978E+02,5.204E+03,6.039E+03,6.637E+03,157.90757,5.26358566666667,4
F7,SBOA,8.541E+02,2.478E+01,8.114E+02,8.500E+02,9.146E+02,195.4039962,6.51346654,1
F8,PSO,1.283E+03,6.539E+01,1.181E+03,1.278E+03,1.419E+03,120.110422,4.00368073333333,3
F8,GWO,1.272E+03,1.850E+01,1.230E+03,1.277E+03,1.302E+03,140.7161687,4.69053895666667,2
F8,WSO,1.977E+03,7.320E+01,1.807E+03,1.974E+03,2.149E+03,147.8550524,4.92850174666667,4
F8,SBOA,8.834E+02,2.202E+01,8.517E+02,8.776E+02,9.333E+02,201.8687856,6.72895952,1
F9,PSO,1.729E+04,4.732E+03,8.782E+03,1.718E+04,2.944E+04,124.6972123,4.15657374333333,3
F9,GWO,1.110E+04,1.556E+03,7.334E+03,1.103E+04,1.539E+04,146.9142581,4.89714193666667,2
F9,WSO,9.562E+04,8.729E+03,7.088E+04,9.487E+04,1.082E+05,146.7936777,4.89312259,4
F9,SBOA,9.553E+02,3.343E+01,9.126E+02,9.454E+02,1.040E+03,190.6976494,6.35658831333333,1
F10,PSO,9.852E+03,1.163E+03,7.417E+03,9.847E+03,1.170E+04,143.2702646,4.77567548666667,2
F10,GWO,1.141E+04,5.792E+02,1.003E+04,1.133E+04,1.240E+04,158.6565565,5.28855188333333,3
F10,WSO,1.557E+04,3.320E+02,1.480E+04,1.564E+04,1.607E+04,171.3423579,5.71141193,4
F10,SBOA,7.546E+03,9.237E+02,5.599E+03,7.708E+03,9.330E+03,223.1952168,7.43984056,1
F11,PSO,1.064E+04,9.590E+03,3.007E+03,7.584E+03,5.265E+04,100.9341519,3.36447173,3
F11,GWO,7.693E+03,1.421E+03,6.188E+03,7.358E+03,1.293E+04,121.6582119,4.05527373,2
F11,WSO,6.462E+04,9.032E+03,3.880E+04,6.489E+04,8.358E+04,136.2996575,4.54332191666667,4
F11,SBOA,1.316E+03,7.232E+01,1.210E+03,1.310E+03,1.461E+03,176.0237834,5.86745944666667,1
F12,PSO,1.880E+10,7.965E+09,4.895E+09,1.891E+10,3.643E+10,117.8341149,3.92780383,3
F12,GWO,5.160E+09,9.931E+08,3.266E+09,5.313E+09,7.626E+09,136.4076599,4.54692199666667,2
F12,WSO,9.395E+10,1.331E+10,7.054E+10,9.466E+10,1.183E+11,158.1203421,5.27067807,4
F12,SBOA,2.264E+06,1.284E+06,7.014E+05,1.927E+06,5.601E+06,194.1906907,6.47302302333333,1
F13,PSO,6.934E+09,5.777E+09,3.253E+07,6.489E+09,2.300E+10,103.2494977,3.44164992333333,3
F13,GWO,1.403E+09,1.249E+08,9.678E+08,1.477E+09,1.477E+09,122.3330553,4.07776851,2
F13,WSO,3.918E+10,8.262E+09,1.822E+10,3.971E+10,5.373E+10,140.9206003,4.69735334333333,4
F13,SBOA,3.547E+04,1.280E+04,8.484E+03,3.833E+04,6.572E+04,175.2032654,5.84010884666667,1
