Function,Algorithm,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,Rank
F1,PSO,1094.71648459948,2237.24741553221,300,300,12007.2003203382,6.6187777,0.220625923333333,5
F1,GWO,9270.01600415528,3867.49865688341,4073.58233660179,7797.17135807482,19539.7177342579,7.302277,0.243409233333333,7
F1,WSO,30721.4884807341,7178.19095150296,14263.4378651074,32363.1844071684,43268.1067926787,8.6728826,0.289096086666667,8
F1,BMJAYA,300,4.35216801115971e-14,300,300,300,18.4652736,0.61550912,1.5
F1,DE,300,0,300,300,300,23.9015366,0.796717886666667,1.5
F1,JAYA,300.000005529383,1.58913317078359e-05,300.000000001542,300.000000120641,300.000075853864,17.5773096,0.58591032,3
F1,SBOA,300.584684255764,2.22698410654954,300.000000005659,300.000000606306,309.120677842902,20.3582432,0.678608106666667,4
F1,DOA,2573.61596022176,1189.26082614582,1125.82196974186,2233.06347026646,5588.78027995431,19.0771929,0.63590643,6
F2,PSO,460.733553288889,79.1121947521366,408.002324886285,446.872814513177,784.950800732587,5.7636477,0.19212159,7
F2,GWO,439.381785718742,25.2619967503244,411.173631713987,456.37597881756,462.361016842993,5.9076033,0.19692011,6
F2,WSO,975.393353611365,157.184549195152,637.211961383541,1005.53287686013,1233.15461711001,7.2827752,0.242759173333333,8
F2,BMJAYA,410.341332161762,16.7119679383585,400,408.916101927781,470.781083814056,16.6118359,0.553727863333333,4
F2,DE,406.420122129146,3.12253854154239,400,408.916101927781,408.916101927781,22.1769379,0.739231263333333,2
F2,JAYA,406.446897987524,2.35343511171745,404.091926980502,404.685419333682,408.916101927781,15.6005992,0.520019973333333,3
F2,SBOA,403.712968022118,1.98869735722978,400.02680931415,404.356757837062,408.916101927781,18.8507939,0.628359796666667,1
F2,DOA,427.419234290663,29.5659271839506,407.749772726126,412.201651353978,495.899273761173,17.1505299,0.57168433,5
F3,PSO,605.063048497448,4.61468689557211,600,603.438992385039,618.540563050794,9.1860698,0.306202326666667,6
F3,GWO,602.287029572957,1.51191480719163,601.013210630464,601.31037134706,605.948983968879,9.7910094,0.32636698,4
F3,WSO,676.370644441332,10.2979813430402,651.079369750752,677.276444644558,693.989144841326,11.0252231,0.367507436666667,8
F3,BMJAYA,602.543100906534,4.74006106331755,600.000862936738,600.486826672896,623.289704557616,20.3616036,0.67872012,5
F3,DE,600,0,600,600,600,25.914505,0.863816833333333,1.5
F3,JAYA,600,1.50763522368092e-13,600,600,600,19.704639,0.6568213,1.5
F3,SBOA,600.000000020341,1.06498341611418e-07,600,600.000000000001,600.000000583707,22.8343622,0.761145406666667,3
F3,DOA,626.104559639893,15.7159405263446,602.199433418714,621.839750524939,657.066929817847,21.0456597,0.70152199,7
F4,PSO,828.745888683803,11.4831500680726,812.934457666575,827.637557722375,850.326682016417,5.7001634,0.190005446666667,4
F4,GWO,835.593869362131,11.1370660934754,820.343326350637,833.018654559469,866.396462596299,6.4462965,0.21487655,7
F4,WSO,904.325537200219,13.4883877863697,862.730230624252,907.09544558153,922.414730356773,7.8199168,0.260663893333333,8
F4,BMJAYA,826.029912710112,19.5055589830721,806.964708361834,819.401666303148,873.73368742125,17.1194568,0.57064856,3
F4,DE,808.337051825819,4.78635044631005,800.994959057093,807.00096512656,821.263362873387,22.7430335,0.758101116666667,1
F4,JAYA,832.243595580399,5.46893726210231,821.333649615598,832.776962266891,842.06057878034,16.2975478,0.543251593333333,6
F4,SBOA,815.286815948641,5.72405587554539,805.969754342948,814.426893733458,828.853762237201,19.2576806,0.641922686666667,2
F4,DOA,830.602198033601,6.16173507104714,814.57839370948,832.373821744269,837.912575841435,17.4869653,0.582898843333333,5
F5,PSO,933.792090452967,77.3617456679311,900,900.089528250417,1154.78165880267,8.8633278,0.29544426,7
F5,GWO,918.140021639948,20.731244569532,901.399121398614,914.77261721285,972.560076824755,9.3287371,0.310957903333333,5
F5,WSO,3898.02992244748,652.350067149424,2427.86678429649,4034.90190222931,5031.31803603666,10.7059883,0.356866276666667,8
F5,BMJAYA,917.115840704713,28.1476179680889,900,907.41311735103,1031.29865310989,20.4955634,0.683185446666667,4
F5,DE,900,0,900,900,900,26.0531624,0.868438746666667,1.5
F5,JAYA,900,0,900,900,900,19.2721453,0.642404843333333,1.5
F5,SBOA,900.475170649666,0.959645670865984,900,900.089528250421,905.062585751347,22.704886,0.756829533333333,3
F5,DOA,929.922396104366,25.0485685604617,902.678596746402,923.939215382543,1006.36596269024,21.1899805,0.706332683333333,6
F6,PSO,6432.33362390063,2047.75359214803,1919.94731397555,8055.46215143293,8266.78294315066,6.0858222,0.20286074,4
F6,GWO,7866.10424793508,793.91159496679,4940.44716330939,8071.16261370191,8104.55442509549,6.8168368,0.227227893333333,5
F6,WSO,76013408.7793426,51736916.5865371,9817859.19276934,67185180.1320578,215519118.78414,8.160839,0.272027966666667,8
F6,BMJAYA,1853.7501302817,39.7017928158775,1805.84554029371,1847.76904133622,1953.42079426296,18.3150628,0.610502093333333,2
F6,DE,1800.69390665299,1.05564926031537,1800.03540187595,1800.30477061349,1804.45026005936,23.3175046,0.777250153333333,1
F6,JAYA,8174.6386450512,4554.45012352428,3546.86623253373,7470.31835401893,22940.452424322,16.840383,0.5613461,6
F6,SBOA,4122.57502099858,1888.64041892339,1851.80449863114,3859.60217120266,8251.01811043192,20.0760939,0.66920313,3
F6,DOA,781742.679457848,705867.429491564,80499.0593167788,558265.478135631,3029392.00131824,18.6824989,0.622749963333333,7
F7,PSO,2026.97547812061,10.5884326154144,2020.05815917919,2023.19396182961,2073.51038395736,15.5284385,0.517614616666667,4
F7,GWO,2063.72742860412,19.3034523620366,2033.57203948449,2064.46357064881,2105.08150515589,15.9145819,0.530486063333333,7
F7,WSO,2134.90214223449,23.6229375982468,2085.94759631526,2138.28680085733,2175.87432398285,17.4491813,0.581639376666667,8
F7,BMJAYA,2028.50960403123,14.4295276590185,2001.98991811502,2024.97049217901,2079.57160059931,27.0930041,0.903100136666667,5
F7,DE,2000.3753067147,0.464475823439364,2000,2000,2001.61905837846,32.1846932,1.07282310666667,1
F7,JAYA,2025.28543631361,3.56054144083567,2021.05564884978,2024.88505423419,2034.2288686142,26.2760945,0.875869816666667,3
F7,SBOA,2019.55453167047,5.19402344613892,2000.994995126,2020.99773428382,2022.61458283961,29.5183043,0.983943476666667,2
F7,DOA,2055.38046094051,28.9537165551559,2024.57317610836,2047.79149054504,2144.07166520621,27.9195034,0.930650113333333,6
F8,PSO,2226.3442864321,6.54589609161601,2205.63214612907,2226.04821050813,2242.12062270887,19.7185287,0.65728429,5
F8,GWO,2246.28078915302,11.5228423300823,2227.29237847647,2252.97143974014,2254.44780629059,19.1289917,0.637633056666667,7
F8,WSO,2265.02545075314,15.5808625357832,2240.24319455942,2264.1605584256,2304.56072052969,20.7958612,0.693195373333333,8
F8,BMJAYA,2224.1884886999,8.79581640137203,2200.76856763243,2222.53842078468,2243.28614782643,30.5027042,1.01675680666667,4
F8,DE,2200.35441250524,0.324813537394549,2200.00602941643,2200.19443554369,2201.35417926614,35.8640483,1.19546827666667,1
F8,JAYA,2223.67560696681,4.27115224336624,2214.07020191721,2225.15401406074,2229.19590888688,29.668394,0.988946466666667,3
F8,SBOA,2217.31492624709,7.36994425981109,2201.71468067435,2220.69198438625,2223.15577773046,32.4858735,1.08286245,2
F8,DOA,2231.15311750535,2.73740308001206,2226.37819582191,2231.28097918299,2237.17303282259,32.1326731,1.07108910333333,6
F9,PSO,2564.91843012186,50.820933408408,2529.28438270849,2532.68049347006,2684.03967210253,15.4191134,0.513970446666667,6
F9,GWO,2577.92280913066,17.5354675184078,2548.16158840526,2573.37496531494,2636.02696569862,15.9762954,0.53254318,7
F9,WSO,2775.40666476158,50.9260796773741,2663.03541064657,2788.6665195325,2871.03423876892,17.4617923,0.582059743333333,8
F9,BMJAYA,2529.28438270849,8.44444631079804e-14,2529.28438270849,2529.28438270849,2529.28438270849,27.1736499,0.90578833,2.5
F9,DE,2529.28438270849,0,2529.28438270849,2529.28438270849,2529.28438270849,32.9869545,1.09956515,2.5
F9,JAYA,2529.28438270849,0,2529.28438270849,2529.28438270849,2529.28438270849,26.0213133,0.86737711,2.5
F9,SBOA,2529.28438270849,0,2529.28438270849,2529.28438270849,2529.28438270849,29.2770441,0.97590147,2.5
F9,DOA,2540.29795698914,37.3072263188442,2529.32900161906,2529.55274615555,2676.26473688193,32.6341619,1.08780539666667,5
F10,PSO,2637.00874763738,202.578040811876,2501.26574483536,2515.08834376351,3192.4540485456,12.5547222,0.41849074,7
F10,GWO,2567.30360663307,68.0007136640831,2500.35500115784,2562.05587040909,2638.04631308622,13.654985,0.455166166666667,4
F10,WSO,2576.09314100857,30.2473435723712,2537.83850341097,2567.97358358896,2667.38855321561,15.0880085,0.502933616666667,6
F10,BMJAYA,2666.6350810153,383.702227329121,2500.26580414488,2500.63341047891,3896.54553691795,24.8666686,0.828888953333333,8
F10,DE,2521.61660720924,43.4735123758308,2500.16097202148,2500.2539149183,2612.78820749847,30.2407649,1.00802549666667,2
F10,JAYA,2572.0099913773,156.504828674119,2500.20625482186,2500.33643008852,3290.37197780878,24.3941545,0.813138483333333,5
F10,SBOA,2500.34366676258,0.0782917634017826,2500.2247746011,2500.33961345857,2500.52276861988,26.8776254,0.895920846666667,1
F10,DOA,2529.73759714635,53.5018479495693,2500.39941943676,2500.76271820602,2633.89620949681,29.2804477,0.976014923333333,3
F11,PSO,2959.5705658164,243.065059831056,2600,2804.60493905288,3413.7494146904,16.6614275,0.555380916666667,7
F11,GWO,2853.48486334799,164.997713660834,2750.30423851926,2750.36898978735,3247.91046536818,17.7783732,0.59261244,6
F11,WSO,3437.47754521477,283.833928703596,3044.54002282308,3375.33506096529,4144.29388230919,19.4230384,0.647434613333333,8
F11,BMJAYA,2686.20739983806,151.248446395704,2600,2600,3183.57858789684,28.3969279,0.946564263333333,3
F11,DE,2647.26363725848,109.644286685958,2600,2600,3000,34.2827804,1.14275934666667,2
F11,JAYA,2712.83658491649,177.611396161729,2600,2600,3183.65390294199,27.2448455,0.908161516666667,4
F11,SBOA,2600,6.03054089472369e-13,2600,2600,2600,30.9617307,1.03205769,1
F11,DOA,2755.55116986535,187.627247314641,2609.7672799059,2631.40072171322,3187.75200210339,30.5970766,1.01990255333333,5
F12,PSO,2873.98988082218,24.4295911796603,2862.44212066232,2868.08977740322,2985.85990936701,18.8974673,0.629915576666667,7
F12,GWO,2865.4366081514,2.21437132911885,2864.83982738694,2865.01116602423,2876.82120532853,19.8793564,0.662645213333333,6
F12,WSO,2884.18078508534,8.8604032652264,2872.20230100082,2880.93838424938,2908.31861849563,21.5977393,0.719924643333333,8
F12,BMJAYA,2864.13888979714,1.8387754969238,2861.40488075875,2863.87194840751,2867.76162022897,31.2535889,1.04178629666667,4
F12,DE,2863.53591957804,1.4664395855833,2859.5437762868,2863.48627033565,2866.66196384554,36.6696457,1.22232152333333,3
F12,JAYA,2861.62542376976,1.37653583699626,2858.61837305387,2861.40488075875,2864.02907491297,29.779609,0.992653633333333,2
F12,SBOA,2860.1567233933,1.27280076307773,2858.61847056463,2859.54377628818,2863.18913235341,33.8497631,1.12832543666667,1
F12,DOA,2865.37892606394,2.0352358925928,2862.58567009544,2865.28967993161,2872.05543071462,32.0861788,1.06953929333333,5
