Function,Algorithm,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,Rank
F1,PSO,2.388E+04,1.845E+04,9.267E+02,2.035E+04,6.497E+04,8.781E+00,2.927E-01,6
F1,GWO,3.374E+04,9.793E+03,1.990E+04,3.372E+04,5.859E+04,1.012E+01,3.372E-01,7
F1,WSO,9.637E+04,1.376E+04,6.111E+04,9.774E+04,1.211E+05,1.381E+01,4.602E-01,8
F1,BMJAYA,3.000E+02,1.400E-13,3.000E+02,3.000E+02,3.000E+02,2.375E+01,7.917E-01,1
F1,DE,3.000E+02,7.674E-06,3.000E+02,3.000E+02,3.000E+02,3.006E+01,1.002E+00,2
F1,JAYA,8.382E+03,2.208E+03,4.113E+03,8.306E+03,1.379E+04,2.138E+01,7.126E-01,4
F1,SBOA,2.630E+03,1.499E+03,8.072E+02,2.321E+03,6.852E+03,2.869E+01,9.565E-01,3
F1,DOA,2.064E+04,5.677E+03,8.603E+03,2.037E+04,3.350E+04,3.310E+01,1.103E+00,5
F2,PSO,6.962E+02,1.675E+02,4.544E+02,6.802E+02,1.194E+03,6.269E+00,2.090E-01,7
F2,GWO,5.460E+02,2.728E+01,4.966E+02,5.481E+02,5.911E+02,8.074E+00,2.691E-01,6
F2,WSO,6.664E+03,1.485E+03,2.899E+03,6.438E+03,9.538E+03,9.525E+00,3.175E-01,8
F2,BMJAYA,4.345E+02,2.330E+01,4.000E+02,4.491E+02,4.718E+02,1.925E+01,6.417E-01,1
F2,DE,4.470E+02,8.194E+00,4.043E+02,4.491E+02,4.491E+02,2.955E+01,9.850E-01,3
F2,JAYA,4.462E+02,2.074E+01,4.059E+02,4.491E+02,5.122E+02,2.051E+01,6.835E-01,2
F2,SBOA,4.471E+02,7.844E+00,4.063E+02,4.491E+02,4.491E+02,2.567E+01,8.556E-01,4
F2,DOA,5.283E+02,4.917E+01,4.581E+02,5.145E+02,6.468E+02,2.678E+01,8.927E-01,5
F3,PSO,6.184E+02,8.682E+00,6.042E+02,6.166E+02,6.419E+02,1.376E+01,4.586E-01,6
F3,GWO,6.145E+02,4.369E+00,6.079E+02,6.140E+02,6.247E+02,1.611E+01,5.371E-01,4
F3,WSO,7.115E+02,8.963E+00,6.913E+02,7.130E+02,7.272E+02,1.798E+01,5.995E-01,8
F3,BMJAYA,6.157E+02,9.143E+00,6.032E+02,6.137E+02,6.409E+02,2.656E+01,8.852E-01,5
F3,DE,6.000E+02,6.869E-07,6.000E+02,6.000E+02,6.000E+02,3.820E+01,1.273E+00,1
F3,JAYA,6.000E+02,8.386E-02,6.000E+02,6.000E+02,6.004E+02,3.158E+01,1.053E+00,2
F3,SBOA,6.000E+02,7.191E-02,6.000E+02,6.000E+02,6.003E+02,3.740E+01,1.247E+00,3
F3,DOA,6.507E+02,1.561E+01,6.262E+02,6.478E+02,6.793E+02,3.582E+01,1.194E+00,7
F4,PSO,8.914E+02,2.403E+01,8.511E+02,8.908E+02,9.402E+02,7.333E+00,2.444E-01,4
F4,GWO,9.187E+02,1.737E+01,8.811E+02,9.164E+02,9.562E+02,8.937E+00,2.979E-01,6
F4,WSO,1.102E+03,2.038E+01,1.065E+03,1.107E+03,1.140E+03,1.131E+01,3.770E-01,8
F4,BMJAYA,8.701E+02,5.034E+01,8.289E+02,8.488E+02,9.954E+02,1.920E+01,6.402E-01,2
F4,DE,8.865E+02,2.523E+01,8.129E+02,8.938E+02,9.109E+02,3.033E+01,1.011E+00,3
F4,JAYA,9.203E+02,8.681E+00,9.010E+02,9.192E+02,9.347E+02,3.902E+01,1.301E+00,7
F4,SBOA,8.481E+02,1.401E+01,8.202E+02,8.472E+02,8.706E+02,2.756E+01,9.188E-01,1
F4,DOA,9.015E+02,1.854E+01,8.671E+02,8.986E+02,9.665E+02,2.745E+01,9.151E-01,5
F5,PSO,2.733E+03,1.047E+03,1.470E+03,2.514E+03,5.366E+03,1.244E+01,4.148E-01,7
F5,GWO,1.239E+03,6.164E+01,1.097E+03,1.235E+03,1.369E+03,1.457E+01,4.858E-01,4
F5,WSO,1.254E+04,1.648E+03,9.658E+03,1.230E+04,1.547E+04,1.600E+01,5.332E-01,8
F5,BMJAYA,1.524E+03,5.272E+02,9.745E+02,1.326E+03,3.231E+03,3.077E+01,1.026E+00,5
F5,DE,9.000E+02,8.399E-02,9.000E+02,9.000E+02,9.005E+02,3.605E+01,1.202E+00,1
F5,JAYA,9.013E+02,2.257E+00,9.000E+02,9.005E+02,9.108E+02,3.096E+01,1.032E+00,2
F5,SBOA,9.412E+02,5.239E+01,9.004E+02,9.239E+02,1.106E+03,3.481E+01,1.160E+00,3
F5,DOA,2.158E+03,6.925E+02,1.135E+03,2.112E+03,3.322E+03,3.635E+01,1.212E+00,6
F6,PSO,2.872E+07,8.662E+07,2.609E+03,1.725E+05,4.787E+08,7.414E+00,2.471E-01,6
F6,GWO,3.910E+07,2.147E+07,2.078E+03,5.409E+07,6.087E+07,9.107E+00,3.036E-01,7
F6,WSO,3.015E+09,1.250E+09,4.885E+08,3.234E+09,5.312E+09,1.069E+01,3.564E-01,8
F6,BMJAYA,4.780E+03,4.819E+03,1.918E+03,2.276E+03,2.391E+04,2.218E+01,7.393E-01,2
F6,DE,3.144E+03,3.285E+03,1.824E+03,1.893E+03,1.540E+04,2.746E+01,9.152E-01,1
F6,JAYA,2.551E+05,7.035E+05,2.098E+04,3.741E+04,3.771E+06,2.217E+01,7.390E-01,4
F6,SBOA,2.100E+04,7.366E+03,2.049E+03,2.488E+04,2.531E+04,2.996E+01,9.986E-01,3
F6,DOA,2.240E+07,1.112E+07,6.404E+06,2.387E+07,6.411E+07,2.791E+01,9.303E-01,5
F7,PSO,2.078E+03,3.612E+01,2.032E+03,2.073E+03,2.186E+03,2.649E+01,8.829E-01,3
F7,GWO,2.225E+03,3.952E+01,2.152E+03,2.232E+03,2.307E+03,2.832E+01,9.438E-01,7
F7,WSO,2.314E+03,3.497E+01,2.201E+03,2.313E+03,2.369E+03,2.971E+01,9.903E-01,8
F7,BMJAYA,2.129E+03,8.032E+01,2.031E+03,2.104E+03,2.371E+03,3.937E+01,1.312E+00,5
F7,DE,2.018E+03,1.225E+01,2.000E+03,2.022E+03,2.050E+03,4.460E+01,1.487E+00,1
F7,JAYA,2.113E+03,3.036E+01,2.063E+03,2.113E+03,2.187E+03,4.558E+01,1.519E+00,4
F7,SBOA,2.040E+03,1.327E+01,2.023E+03,2.035E+03,2.064E+03,5.345E+01,1.782E+00,2
F7,DOA,2.131E+03,3.913E+01,2.040E+03,2.144E+03,2.185E+03,5.351E+01,1.784E+00,6
F8,PSO,2.266E+03,5.568E+01,2.225E+03,2.237E+03,2.395E+03,3.335E+01,1.112E+00,6
F8,GWO,2.252E+03,1.581E+01,2.230E+03,2.258E+03,2.278E+03,3.312E+01,1.104E+00,4
