Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,300,0,300,300,300,23.901537,0.796718,100000,50,30,10
F2,406.420122129146,3.12253854154239,400,408.916101927781,408.916101927781,22.176938,0.739231,100000,50,30,10
F3,600,0,600,600,600,25.914505,0.863817,100000,50,30,10
F4,808.337051825819,4.78635044631005,800.994959057093,807.00096512656,821.263362873387,22.743033,0.758101,100000,50,30,10
F5,900,0,900,900,900,26.053162,0.868439,100000,50,30,10
F6,1800.69390665299,1.05564926031537,1800.03540187595,1800.30477061349,1804.45026005936,23.317505,0.777250,100000,50,30,10
F7,2000.3753067147,0.464475823439364,2000,2000,2001.61905837846,32.184693,1.072823,100000,50,30,10
F8,2200.35441250524,0.324813537394549,2200.00602941643,2200.19443554369,2201.35417926614,35.864048,1.195468,100000,50,30,10
F9,2529.28438270849,0,2529.28438270849,2529.28438270849,2529.28438270849,32.986955,1.099565,100000,50,30,10
F10,2521.61660720924,43.4735123758308,2500.16097202148,2500.2539149183,2612.78820749847,30.240765,1.008025,100000,50,30,10
F11,2647.26363725848,109.644286685958,2600,2600,3000,34.282780,1.142759,100000,50,30,10
F12,2863.53591957804,1.4664395855833,2859.5437762868,2863.48627033565,2866.66196384554,36.669646,1.222322,100000,50,30,10
