Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,2573.61596022176,1189.26082614582,1125.82196974186,2233.06347026646,5588.78027995431,19.077193,0.635906,100000,50,30,10
F2,427.419234290663,29.5659271839506,407.749772726126,412.201651353978,495.899273761173,17.150530,0.571684,100000,50,30,10
F3,626.104559639893,15.7159405263446,602.199433418714,621.839750524939,657.066929817847,21.045660,0.701522,100000,50,30,10
F4,830.602198033601,6.16173507104714,814.57839370948,832.373821744269,837.912575841435,17.486965,0.582899,100000,50,30,10
F5,929.922396104366,25.0485685604617,902.678596746402,923.939215382543,1006.36596269024,21.189981,0.706333,100000,50,30,10
F6,781742.679457848,705867.429491564,80499.0593167788,558265.478135631,3029392.00131824,18.682499,0.622750,100000,50,30,10
F7,2055.38046094051,28.9537165551559,2024.57317610836,2047.79149054504,2144.07166520621,27.919503,0.930650,100000,50,30,10
F8,2231.15311750535,2.73740308001206,2226.37819582191,2231.28097918299,2237.17303282259,32.132673,1.071089,100000,50,30,10
F9,2540.29795698914,37.3072263188442,2529.32900161906,2529.55274615555,2676.26473688193,32.634162,1.087805,100000,50,30,10
F10,2529.73759714635,53.5018479495693,2500.39941943676,2500.76271820602,2633.89620949681,29.280448,0.976015,100000,50,30,10
F11,2755.55116986535,187.627247314641,2609.7672799059,2631.40072171322,3187.75200210339,30.597077,1.019903,100000,50,30,10
F12,2865.37892606394,2.0352358925928,2862.58567009544,2865.28967993161,2872.05543071462,32.086179,1.069539,100000,50,30,10
