Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,33739.3936689574,9793.37457356905,19902.7054307748,33724.2989365299,58591.6208145529,10.116376,0.337213,100000,50,30,20
F2,546.039573679439,27.2772337821316,496.637645557824,548.082916640012,591.145318925484,8.073545,0.269118,100000,50,30,20
F3,614.48580555558,4.36850787508329,607.873225150783,613.989838392761,624.666497407185,16.111724,0.537057,100000,50,30,20
F4,918.730478626755,17.3707190230983,881.07192335392,916.359177930504,956.203702885555,8.937428,0.297914,100000,50,30,20
F5,1238.9822441536,61.6423180483589,1097.02857889565,1235.09305127877,1368.67775160563,14.572673,0.485756,100000,50,30,20
F6,39096811.9422785,21466420.499757,2077.7643529549,54092510.9724648,60874424.6938549,9.106924,0.303564,100000,50,30,20
F7,2225.05056319539,39.5189929322583,2151.50426306843,2232.19468654625,2307.44190672793,28.315013,0.943834,100000,50,30,20
F8,2251.87387957298,15.8063426440035,2229.69259660373,2258.29382290258,2278.23393758077,33.115803,1.103860,100000,50,30,20
F9,2549.43726771587,29.8278214417539,2510.01208002913,2541.68996483509,2621.67412143531,26.542915,0.884764,100000,50,30,20
F10,3348.58838270162,1251.41377610704,2500.8940923485,2713.60755668516,5721.31063545202,21.159814,0.705327,100000,50,30,20
F11,3674.05382326939,203.963415256813,3364.10197813386,3669.88514151133,4066.24063695208,33.269347,1.108978,100000,50,30,20
F12,2987.49875126063,15.2505116035451,2952.53960842682,2981.5818392045,3011.66470806876,35.192169,1.173072,100000,50,30,20
