Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,8382.31961174889,2208.4342184978,4112.87642949632,8306.20430626443,13793.9041495189,21.377212,0.712574,100000,50,30,20
F2,446.231057111492,20.7392369846822,405.8816180159,449.084478979481,512.174240945373,20.505416,0.683514,100000,50,30,20
F3,600.028438943055,0.083863304273836,600.000074976837,600.000695158588,600.350066282531,31.579845,1.052661,100000,50,30,20
F4,920.29410551645,8.68085830192743,900.983410378772,919.173080807813,934.738141282689,39.023072,1.300769,100000,50,30,20
F5,901.306664640155,2.25742839318467,900.000000000001,900.454324025402,910.787448339509,30.963360,1.032112,100000,50,30,20
F6,255112.37710599,703456.596344647,20975.0621164976,37410.3234921393,3770830.55770414,22.170979,0.739033,100000,50,30,20
F7,2113.47642163645,30.3593617383083,2062.82680145371,2113.1464999618,2186.55757000407,45.583396,1.519447,100000,50,30,20
F8,2244.16444736199,7.11338911679587,2234.04751445669,2243.00375814255,2261.98166712809,55.786702,1.859557,100000,50,30,20
F9,2480.78127167775,7.32771663906642e-12,2480.78127167775,2480.78127167775,2480.78127167777,45.848267,1.528276,100000,50,30,20
F10,4847.94554010591,1452.87676300747,2500.43221398211,5529.25830378324,6550.8398946113,38.526528,1.284218,100000,50,30,20
F11,2906.6666666672,69.1491807283301,2600.00000000074,2900.00000000054,3000.00000000097,47.294111,1.576470,100000,50,30,20
F12,2952.28599973413,17.030621665488,2937.79403520563,2946.03950051634,3009.6258765329,53.523460,1.784115,100000,50,30,20
