Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,1094.71648459948,2237.24741553221,300,300,12007.2003203382,6.618778,0.220626,100000,50,30,10
F2,460.733553288889,79.1121947521366,408.002324886285,446.872814513177,784.950800732587,5.763648,0.192122,100000,50,30,10
F3,605.063048497448,4.61468689557211,600,603.438992385039,618.540563050794,9.186070,0.306202,100000,50,30,10
F4,828.745888683803,11.4831500680726,812.934457666575,827.637557722375,850.326682016417,5.700163,0.190005,100000,50,30,10
F5,933.792090452967,77.3617456679311,900,900.089528250417,1154.78165880267,8.863328,0.295444,100000,50,30,10
F6,6432.33362390063,2047.75359214803,1919.94731397555,8055.46215143293,8266.78294315066,6.085822,0.202861,100000,50,30,10
F7,2026.97547812061,10.5884326154144,2020.05815917919,2023.19396182961,2073.51038395736,15.528439,0.517615,100000,50,30,10
F8,2226.3442864321,6.54589609161601,2205.63214612907,2226.04821050813,2242.12062270887,19.718529,0.657284,100000,50,30,10
F9,2564.91843012186,50.820933408408,2529.28438270849,2532.68049347006,2684.03967210253,15.419113,0.513970,100000,50,30,10
F10,2637.00874763738,202.578040811876,2501.26574483536,2515.08834376351,3192.4540485456,12.554722,0.418491,100000,50,30,10
F11,2959.5705658164,243.065059831056,2600,2804.60493905288,3413.7494146904,16.661427,0.555381,100000,50,30,10
F12,2873.98988082218,24.4295911796603,2862.44212066232,2868.08977740322,2985.85990936701,18.897467,0.629916,100000,50,30,10
