Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,300.584684255764,2.22698410654954,300.000000005659,300.000000606306,309.120677842902,20.358243,0.678608,100000,50,30,10
F2,403.712968022118,1.98869735722978,400.02680931415,404.356757837062,408.916101927781,18.850794,0.628360,100000,50,30,10
F3,600.000000020341,1.06498341611418e-07,600,600.000000000001,600.000000583707,22.834362,0.761145,100000,50,30,10
F4,815.286815948641,5.72405587554539,805.969754342948,814.426893733458,828.853762237201,19.257681,0.641923,100000,50,30,10
F5,900.475170649666,0.959645670865984,900,900.089528250421,905.062585751347,22.704886,0.756830,100000,50,30,10
F6,4122.57502099858,1888.64041892339,1851.80449863114,3859.60217120266,8251.01811043192,20.076094,0.669203,100000,50,30,10
F7,2019.55453167047,5.19402344613892,2000.994995126,2020.99773428382,2022.61458283961,29.518304,0.983943,100000,50,30,10
F8,2217.31492624709,7.36994425981109,2201.71468067435,2220.69198438625,2223.15577773046,32.485873,1.082862,100000,50,30,10
F9,2529.28438270849,0,2529.28438270849,2529.28438270849,2529.28438270849,29.277044,0.975901,100000,50,30,10
F10,2500.34366676258,0.0782917634017826,2500.2247746011,2500.33961345857,2500.52276861988,26.877625,0.895921,100000,50,30,10
F11,2600,6.03054089472369e-13,2600,2600,2600,30.961731,1.032058,100000,50,30,10
F12,2860.1567233933,1.27280076307773,2858.61847056463,2859.54377628818,2863.18913235341,33.849763,1.128325,100000,50,30,10
