Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,30721.4884807341,7178.19095150296,14263.4378651074,32363.1844071684,43268.1067926787,8.672883,0.289096,100000,50,30,10
F2,975.393353611365,157.184549195152,637.211961383541,1005.53287686013,1233.15461711001,7.282775,0.242759,100000,50,30,10
F3,676.370644441332,10.2979813430402,651.079369750752,677.276444644558,693.989144841326,11.025223,0.367507,100000,50,30,10
F4,904.325537200219,13.4883877863697,862.730230624252,907.09544558153,922.414730356773,7.819917,0.260664,100000,50,30,10
F5,3898.02992244748,652.350067149424,2427.86678429649,4034.90190222931,5031.31803603666,10.705988,0.356866,100000,50,30,10
F6,76013408.7793426,51736916.5865371,9817859.19276934,67185180.1320578,215519118.78414,8.160839,0.272028,100000,50,30,10
F7,2134.90214223449,23.6229375982468,2085.94759631526,2138.28680085733,2175.87432398285,17.449181,0.581639,100000,50,30,10
F8,2265.02545075314,15.5808625357832,2240.24319455942,2264.1605584256,2304.56072052969,20.795861,0.693195,100000,50,30,10
F9,2775.40666476158,50.9260796773741,2663.03541064657,2788.6665195325,2871.03423876892,17.461792,0.582060,100000,50,30,10
F10,2576.09314100857,30.2473435723712,2537.83850341097,2567.97358358896,2667.38855321561,15.088009,0.502934,100000,50,30,10
F11,3437.47754521477,283.833928703596,3044.54002282308,3375.33506096529,4144.29388230919,19.423038,0.647435,100000,50,30,10
F12,2884.18078508534,8.8604032652264,2872.20230100082,2880.93838424938,2908.31861849563,21.597739,0.719925,100000,50,30,10
